post_name,post_name_en
ACCOUNTANT,ACCOUNTANT
APHOSTER,APHOSTER
ASSISTANT CASHIER,ASSISTANT CASHIER
ASSISTANT ELECTRICIAN,ASSISTANT ELECTRICIAN
ASSISTANT MECHANIC,ASSISTANT MECHANIC
ASSISTANT TRAFFIC INSPECTOR,ASSISTANT TRAFFIC INSPECTOR
ASSISTANT VULCANIZER,ASSISTANT VULCANIZER
ASSTT ACCOUNTS OFFICER,ASSTT ACCOUNTS OFFICER
ASSTT ENGINEER,ASSTT ENGINEER
ASSTT GENERAL MANAGER,ASSTT GENERAL MANAGER
ASSTT STATISTICAL OFFICER,ASSTT STATISTICAL OFFICER
ASSTT STORE KEEPER,ASSTT STORE KEEPER
BLACK SMITH,BLACK SMITH
BODY MECHANIC,BODY MECHANIC
CARPENTER,CARPENTER
CASHIER,CASHIER
CHAUKIDAR,CHAUKIDAR
CLEANER,CLEANER
COMPILER,COMPILER
CONDUCTOR,CONDUCTOR
D G M FINANCE,D G M FINANCE
D G M LEAGAL,D G M LEAGAL
D G M OPERATION,D G M OPERATION
D G M TECHNICAL,D G M TECHNICAL
DRIVER,DRIVER
DRIVER INSTRUCTOR,DRIVER INSTRUCTOR
ELECTRICIAN,ELECTRICIAN
FITTER ELECTRICAL,FITTER ELECTRICAL
FITTER MECHANICAL,FITTER MECHANICAL
GENERAL MANAGER,GENERAL MANAGER
HEAD CLERK,HEAD CLERK
HEMARMAN,HEMARMAN
JR FOREMAN BODY,JR FOREMAN BODY
JR FOREMAN ELECTRICAL,JR FOREMAN ELECTRICAL
JR FOREMAN MECHANICAL,JR FOREMAN MECHANICAL
JUNIOR BOOKING CLERK,JUNIOR BOOKING CLERK
JUNIOR STATION INCHARGE,JUNIOR STATION INCHARGE
MAZDOOR,MAZDOOR
MECHANIC,MECHANIC
NOTER DRAFTER,NOTER DRAFTER
OFFICE ASSISTANT 1,OFFICE ASSISTANT 1
OFFICE ASSISTANT 2,OFFICE ASSISTANT 2
OFFICE SUPERINTENDENT,OFFICE SUPERINTENDENT
PAINTER,PAINTER
PEON,PEON
SECTION OFFICER,SECTION OFFICER
SENIOR BOOKING CLERK,SENIOR BOOKING CLERK
SENIOR FOREMAN GRADE 1,SENIOR FOREMAN GRADE 1
SENIOR FOREMAN GRADE 2,SENIOR FOREMAN GRADE 2
SENIOR STATION INCHARGE,SENIOR STATION INCHARGE
SKILED MAZDOR,SKILED MAZDOR
SR ACCOUNTANT,SR ACCOUNTANT
STORE KEEPAR,STORE KEEPAR
STORE SUPERINTENDENT,STORE SUPERINTENDENT
SWEEPER,SWEEPER
TIN SMITH,TIN SMITH
TRAFFIC INSPECTOR,TRAFFIC INSPECTOR
TRAFFIC SUPERINTENDENT,TRAFFIC SUPERINTENDENT
TURNER,TURNER
TYRE INSPECTOR,TYRE INSPECTOR
UNSKILED MAZDOR,UNSKILED MAZDOR
UPPER DIVISION CLERK,UPPER DIVISION CLERK
VULCANIZER,VULCANIZER
WATER LADY,WATER LADY
WELDER,WELDER
